,time,iiwa_joint_1,iiwa_joint_2,iiwa_joint_3,iiwa_joint_4,iiwa_joint_5,iiwa_joint_6,iiwa_joint_7,link_pos_1,link_pos_2,link_pos_3,link_pos_4,link_pos_5,link_pos_6,link_pos_7
0,1639136551979647857,-1.023703194096215,1.5749805595303847,-1.3804528138430516,0.04063594506668977,0.9865373747813306,-0.4824352502065259,-3.004986539856081,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[-0.0722843194731492, 0.18899698631261244, 0.39617042213704545]","[-0.1376844180449664, 0.3599942596427489, 0.4469912802610012]","[-0.2075163105302107, 0.5571294856498958, 0.46599679154168827]","[-0.29979061706318755, 0.7202624369837489, 0.5342432752823535]","[-0.23637403981038257, 0.7981061373350913, 0.5214297650236661]"
1,1639136552079621092,-0.6608328361337574,1.7872430943801532,-2.2248734686231115,-1.123770740140433,-1.012589531106192,0.5904746647457784,2.08659337273068,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.10924248186834318, -0.1793468931027591, 0.3391213136895306]","[0.20808091784525773, -0.3416131297190571, 0.33832631178954287]","[0.32439112910730317, -0.5164598995470593, 0.33906240749793615]","[0.3829099727522886, -0.705631381044273, 0.3630245761519418]","[0.48130744013658333, -0.7263089150486487, 0.37468081910816703]"
2,1639136552179660552,-0.72229873259601,-1.7098140129449797,2.502516226267916,0.6498130097705848,-1.1491044817412228,0.05401149202661859,1.3097006317268316,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.16192262793707093, -0.12588517028040458, 0.29490026091620447]","[0.30842405321403277, -0.23978127672384048, 0.2540957350784463]","[0.3057163239455214, -0.42803116774442107, 0.3471260889042164]","[0.3639419969325259, -0.5983735101253022, 0.43301990356746856]","[0.3012579701820408, -0.6386818932504787, 0.5015139692971243]"
3,1639136552279538442,1.5287084280048862,-1.941011322291752,-0.2376808397333301,-0.059154938071304126,0.3057950297051999,-0.44250695174556004,-2.5505073890627936,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.15604042899435022, 0.13749395538588383, 0.3109002276365652]","[-0.2972198647505324, 0.261893248354766, 0.284571862164925]","[-0.48216347282200006, 0.3238481851761497, 0.36240146859439165]","[-0.6340195250993758, 0.35779213163688217, 0.4871894403120288]","[-0.7189788771414106, 0.40762734844797577, 0.4638688557141065]"
4,1639136552379591108,-0.44251515140100217,-0.6577343032383909,-2.4295911133694017,0.36064043652603095,-1.4717208153007533,-0.02895603160650584,-0.4038694470439759,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.008237217047963721, -0.1955990422860994, 0.2640186673447653]","[-0.01568993723514675, -0.3725696043544501, 0.1952736520853039]","[-0.021175854332290522, -0.5723114070521944, 0.13067398514608008]","[0.03433874894957217, -0.756053882308082, 0.07644003259514713]","[-0.025230032688293325, -0.8120850028636715, 0.016794716069326726]"
5,1639136552479542712,-2.2469968577090316,0.9278366713338948,-1.747410045033763,-1.470247929720148,-0.7338488463636685,0.6737685972872329,-2.0367842791635047,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.11601261140063734, 0.0549733614941761, 0.5061896612970715]","[-0.22097640266745414, 0.1047111647516391, 0.6565517358039696]","[-0.2686735351306612, 0.18088886895777315, 0.8463462060518407]","[-0.2545015268393624, 0.26853791898107765, 1.0249555233088177]","[-0.32966053356345626, 0.2771199203185354, 1.0922085006502824]"
6,1639136552579473379,1.903139121606924,-0.2752902981922085,0.6591381883465369,-1.5254133377210344,1.0530855959970724,-0.6977808217284871,1.1908887207846148,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.10518281461646446, -0.13108583010024316, 0.46590901737480384]","[-0.2003482183163643, -0.2496872954296352, 0.5798266997614998]","[-0.3575602184427555, -0.11695136358831099, 0.6218452601185]","[-0.49436662300323203, -0.009159566653488271, 0.7190534191628787]","[-0.5139875627311045, 0.08095269879135172, 0.6773366558584959]"
7,1639136552679530707,-1.0136293410717208,1.2233512807905678,2.3670168298234717,0.05399741016848925,-0.8737511270067793,-0.5787613309182393,2.6856976030831747,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.018623986824276954, -0.053959948960228855, 0.5420927287731517]","[0.03547426061677863, -0.10278085516260847, 0.7249385309964901]","[-0.13719848707207802, 0.0037147538970281058, 0.7791861803151241]","[-0.2834070030512995, 0.1393334636826684, 0.7830753204812821]","[-0.31611513106982464, 0.16118502547768396, 0.8763393414574465]"
8,1639136552779589580,0.3744893437640053,1.2771331165045856,-1.210286171542382,0.07383822278643049,-2.904335887579621,0.36271751991193657,1.804575382448521,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.10440920632824771, -0.16758834569206732, 0.4115042937319259]","[0.19887467872126857, -0.3192158965558381, 0.47619865472744094]","[0.29786202289409236, -0.4930927635533082, 0.5399822013265049]","[0.3931104730934183, -0.6683417941627937, 0.5399799513969006]","[0.38053090310133714, -0.7276715045128445, 0.621018398374822]"
9,1639136552879505560,2.4015842197994384,1.840977779767484,2.350340566077946,1.0743213717915558,-0.5884394352197573,0.8736000673349662,1.6490086903632488,"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.1870788057189818, 0.07352887687218908, 0.40078671496860063]","[0.3563405823215405, 0.1400550035669445, 0.4557842189877733]","[0.5361347953558075, 0.22629630869494682, 0.5216361608665616]","[0.6989057614316591, 0.3410301296051741, 0.5328723943134913]","[0.7487927003412778, 0.355036643846826, 0.6198241101391516]"
