,Unnamed: 0,time,iiwa_joint_1,iiwa_joint_2,iiwa_joint_3,iiwa_joint_4,iiwa_joint_5,iiwa_joint_6,iiwa_joint_7,link_pos_1,link_pos_2,link_pos_3,link_pos_4,link_pos_5,link_pos_6,link_pos_7
0,0,1639136551979647857,-1.023703194096215,1.5749805595303847,-1.3804528138430516,0.04063594506668977,0.9865373747813306,-0.4824352502065259,-3.004986539856081,"[0.021459106931778563, 0.028830683409855284, 0.1304871168538432]","[-0.09699981432535139, 0.15189635423931236, 0.15204656888350046]","[-0.35263845468067057, 0.02684024316481093, 0.4785586077865744]","[-0.12535323914709934, 0.42045521977381967, 0.4199766677111594]","[-0.2610822882181112, 0.5628755919013014, 0.46813311907145294]","[-0.32581156261646105, 0.6695024683046257, 0.45690776213868967]","[-0.31067987036438516, 0.7838162656204238, 0.6147493986712657]"
1,1,1639136552079621092,-0.6608328361337574,1.7872430943801532,-2.2248734686231115,-1.1237707401404329,-1.012589531106192,0.5904746647457784,2.08659337273068,"[0.3012974671126327, -0.2233637042904103, 0.2211224393378622]","[-0.17027437433663395, 0.0483384447879765, 0.27868768543073186]","[0.12317047048906743, -0.1729857883003535, 0.3073333888712451]","[0.20361161036808106, -0.22144708848452785, 0.43490164511654406]","[0.2447758050126069, -0.5024738854415174, 0.26117874211900716]","[0.47506636166712557, -0.5532905846369945, 0.2509584033605392]","[0.4297274123707314, -0.7947063146632769, 0.2981704551295602]"
2,2,1639136552179660552,-0.72229873259601,-1.7098140129449797,2.502516226267916,0.6498130097705848,-1.1491044817412228,0.05401149202661859,1.3097006317268316,"[0.07628554712296855, -0.03314024572614263, 0.15985911430592886]","[-0.11179899914422275, 0.07464563462677092, 0.23505298799462238]","[0.10444575035187531, 0.056336931530201806, 0.27519715464023997]","[0.1589765066237756, -0.18695092503851804, 0.21814188466389625]","[0.27390811580291596, -0.40264799425809195, 0.36101122690325776]","[0.5368063031620947, -0.47879313272740864, 0.3899041275269628]","[0.2802700917835044, -0.6815690111602826, 0.35491607454294066]"
3,3,1639136552279538442,1.5287084280048862,-1.941011322291752,-0.2376808397333301,-0.059154938071304126,0.3057950297051999,-0.44250695174556,-2.5505073890627936,"[0.005626991023168557, -0.1879023110830262, 0.04036228242770269]","[0.07088841703470523, 0.02237221043000125, 0.4479454028188383]","[-0.12223576788820643, -0.04340805811667414, 0.3600203198027861]","[-0.4427073087182347, 0.22818992601782045, 0.4189861607236658]","[-0.4482022201824384, 0.38417613043862747, 0.35161052510958624]","[-0.7921441464097212, 0.36309413490161613, 0.48575300559751683]","[-0.7919097599885493, 0.44306556648697204, 0.36608486380752747]"
4,4,1639136552379591108,-0.44251515140100217,-0.6577343032383909,-2.4295911133694017,0.36064043652603095,-1.4717208153007533,-0.02895603160650584,-0.4038694470439759,"[0.04092395905794954, 0.136100683882973, 0.1375013676345423]","[0.16965623204491287, -0.0316497149653215, 0.21601311622815278]","[0.01613817333875109, -0.4173850212537723, 0.3041620619196866]","[-0.0505553408056453, -0.3610699751336571, 0.10236618222554701]","[-0.03917456397036603, -0.44609079917239947, 0.014759543160153599]","[0.06869460416963552, -0.6291904087947086, 0.17058292471002223]","[-0.0886098214690305, -0.8098830168959272, 0.03679930692760276]"
5,5,1639136552479542712,-2.246996857709032,0.9278366713338948,-1.747410045033763,-1.470247929720148,-0.7338488463636685,0.6737685972872329,-2.0367842791635047,"[-0.07386014109134119, 0.08227073959350972, 0.2643935977289441]","[-0.01747675175113712, 0.19415460815961294, 0.42569270007269633]","[-0.09877341868192012, 0.06228363542665402, 0.6582581732200081]","[-0.4063984687904991, 0.1357791565706812, 0.9597582417941878]","[-0.1813523177580491, 0.2683800385384026, 0.7772004141182189]","[-0.4479452961050464, 0.14279665930592939, 1.0388903867564092]","[-0.1732618657180738, 0.2842697173909393, 0.9792236951329552]"
6,6,1639136552579473379,1.903139121606924,-0.2752902981922085,0.6591381883465369,-1.5254133377210344,1.0530855959970724,-0.6977808217284871,1.1908887207846148,"[-0.04289783256599997, -0.0813533613508804, 0.08778359105176815]","[0.14515017848998543, 0.14738109395501348, 0.3061936292843249]","[0.0021939329597996243, -0.07319340745086414, 0.34056441314743935]","[-0.1912088205597415, -0.2721024965973413, 0.7065817700910866]","[-0.39971322556965305, -0.24122369329351886, 0.7090246171262935]","[-0.4915300791412908, 0.1373944348296991, 0.8971486051234441]","[-0.6011233651890906, 0.03599964486592414, 0.680128569490468]"
7,7,1639136552679530707,-1.0136293410717208,1.2233512807905678,2.367016829823472,0.05399741016848925,-0.8737511270067793,-0.5787613309182393,2.6856976030831747,"[-0.03821641734749903, 0.03713545857529909, 0.03615060302829634]","[-0.12741296661240414, -0.02338360475309091, 0.3858455268056607]","[0.08701480523726832, -0.11346145258625964, 0.5486159739904157]","[0.11645197385028294, -0.260230709722443, 0.5419218487134883]","[-0.2493141209418869, 0.08493050012033464, 0.7095743163083702]","[-0.24814572362427734, 0.28379430335511935, 0.8625700718953649]","[-0.28680779617408214, 0.14959257410978674, 0.9127962511616375]"
8,8,1639136552779589580,0.3744893437640053,1.2771331165045856,-1.210286171542382,0.07383822278643049,-2.904335887579621,0.36271751991193657,1.804575382448521,"[0.022942711170726517, -0.16256153169491064, 0.15975245802267787]","[-0.05706917516739618, 0.023874229711913914, 0.3523671233264706]","[0.025922603449359136, -0.23053046274570277, 0.37001578688484593]","[0.10285635912162365, -0.5075928383959655, 0.4178636327524742]","[0.36345383456571995, -0.5414112881211617, 0.5594729240560161]","[0.47124656644421054, -0.7065695400841593, 0.4730681862142895]","[0.531100678045395, -0.6961536864140857, 0.49085347688100567]"
9,9,1639136552879505560,2.4015842197994384,1.840977779767484,2.350340566077946,1.0743213717915558,-0.5884394352197573,0.8736000673349662,1.6490086903632488,"[-0.0578515561047573, -0.0883392159345623, -0.10699186149186182]","[-0.06533174950336311, -0.1660432758119299, 0.2980419940607941]","[0.2567180688215398, 0.1220353240865569, 0.251269057865222]","[0.23322125581679246, 0.173386772659258, 0.503889525509688]","[0.48610061254815995, 0.33608137308567926, 0.6079824888890782]","[0.8054986763873476, 0.3200953376256435, 0.4472751524042058]","[0.6037019779973356, 0.37523875222683944, 0.4015582637589448]"
