link_pos_1,link_pos_2,link_pos_3,link_pos_4,link_pos_5,link_pos_6,link_pos_7
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[-0.0722843194731492, 0.18899698631261244, 0.39617042213704545]","[-0.1376844180449664, 0.3599942596427489, 0.4469912802610012]","[-0.2075163105302107, 0.5571294856498958, 0.46599679154168827]","[-0.29979061706318755, 0.7202624369837489, 0.5342432752823535]","[-0.23637403981038257, 0.7981061373350913, 0.5214297650236661]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.10924248186834318, -0.1793468931027591, 0.3391213136895306]","[0.20808091784525773, -0.3416131297190571, 0.33832631178954287]","[0.32439112910730317, -0.5164598995470593, 0.33906240749793615]","[0.3829099727522886, -0.705631381044273, 0.3630245761519418]","[0.48130744013658333, -0.7263089150486487, 0.37468081910816703]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.16192262793707093, -0.12588517028040458, 0.29490026091620447]","[0.30842405321403277, -0.23978127672384048, 0.2540957350784463]","[0.3057163239455214, -0.42803116774442107, 0.3471260889042164]","[0.3639419969325259, -0.5983735101253022, 0.43301990356746856]","[0.3012579701820408, -0.6386818932504787, 0.5015139692971243]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.15604042899435022, 0.13749395538588383, 0.3109002276365652]","[-0.2972198647505324, 0.261893248354766, 0.284571862164925]","[-0.48216347282200006, 0.3238481851761497, 0.36240146859439165]","[-0.6340195250993758, 0.35779213163688217, 0.4871894403120288]","[-0.7189788771414106, 0.40762734844797577, 0.4638688557141065]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.008237217047963721, -0.1955990422860994, 0.2640186673447653]","[-0.01568993723514675, -0.3725696043544501, 0.1952736520853039]","[-0.021175854332290522, -0.5723114070521944, 0.13067398514608008]","[0.03433874894957217, -0.756053882308082, 0.07644003259514713]","[-0.025230032688293325, -0.8120850028636715, 0.016794716069326726]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.11601261140063734, 0.0549733614941761, 0.5061896612970715]","[-0.22097640266745414, 0.1047111647516391, 0.6565517358039696]","[-0.2686735351306612, 0.18088886895777315, 0.8463462060518407]","[-0.2545015268393624, 0.26853791898107765, 1.0249555233088177]","[-0.32966053356345626, 0.2771199203185354, 1.0922085006502824]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.10518281461646446, -0.13108583010024316, 0.46590901737480384]","[-0.2003482183163643, -0.2496872954296352, 0.5798266997614998]","[-0.3575602184427555, -0.11695136358831099, 0.6218452601185]","[-0.49436662300323203, -0.009159566653488271, 0.7190534191628787]","[-0.5139875627311045, 0.08095269879135172, 0.6773366558584959]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.018623986824276954, -0.053959948960228855, 0.5420927287731517]","[0.03547426061677863, -0.10278085516260847, 0.7249385309964901]","[-0.13719848707207802, 0.0037147538970281058, 0.7791861803151241]","[-0.2834070030512995, 0.1393334636826684, 0.7830753204812821]","[-0.31611513106982464, 0.16118502547768396, 0.8763393414574465]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.10440920632824771, -0.16758834569206732, 0.4115042937319259]","[0.19887467872126857, -0.3192158965558381, 0.47619865472744094]","[0.29786202289409236, -0.4930927635533082, 0.5399822013265049]","[0.3931104730934183, -0.6683417941627937, 0.5399799513969006]","[0.38053090310133714, -0.7276715045128445, 0.621018398374822]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.1870788057189818, 0.07352887687218908, 0.40078671496860063]","[0.3563405823215405, 0.1400550035669445, 0.4557842189877733]","[0.5361347953558075, 0.22629630869494682, 0.5216361608665616]","[0.6989057614316591, 0.3410301296051741, 0.5328723943134913]","[0.7487927003412778, 0.355036643846826, 0.6198241101391516]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.14945138696206128, 0.13646480849859807, 0.28394967460792786]","[-0.28466930849978384, 0.2599329685680641, 0.23323747544363432]","[-0.2417213751833611, 0.3985547474206751, 0.08144986906028738]","[-0.18871500861297671, 0.47844909825122595, -0.09345498452694428]","[-0.25126462012543793, 0.5557039639385752, -0.11255267620080364]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.3400000000000001]","[-0.1713368632479458, -0.12095268397619388, 0.35068304878345696]","[-0.3263559299966221, -0.23038606471579856, 0.3603486643494811]","[-0.3702944453739083, -0.1973906915032686, 0.5630324382757771]","[-0.3549152836425783, -0.18783732667918504, 0.7616695561691345]","[-0.3762114088374054, -0.10619090299727868, 0.7057604643178005]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.009011222816923856, -0.014764002647846884, 0.5492864594023181]","[0.017164233937812336, -0.02812190980497139, 0.7386408750520311]","[0.17178962051396018, -0.11878406688046933, 0.6292271505902682]","[0.28245672549175777, -0.18827519504882687, 0.4785345330480606]","[0.33908845887213246, -0.12464485192418467, 0.533211001553026]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.034817317483017494, -0.09420950780395593, 0.5244243016595783]","[-0.06631869996679167, -0.17944668153169957, 0.6912843841134637]","[-0.22454524258883635, -0.2995412388070787, 0.6231546657615951]","[-0.4017414589032813, -0.35863334473378117, 0.5531967216737946]","[-0.3843712792050066, -0.4063485773856191, 0.6407582624907001]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.3400000000000001]","[-0.06365694412093453, -0.19511312955779847, 0.3844821328102194]","[-0.12125132213423154, -0.37164405630086494, 0.4247278720194271]","[0.0034371481945179028, -0.353478965418506, 0.2567313993174318]","[0.10911953843961342, -0.2767766356654399, 0.10595847402069532]","[0.08210184025690831, -0.33959376082666903, 0.031329104658582074]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.016451582334503532, -0.01018844640790111, 0.5491065302626496]","[-0.03133634730335972, -0.019406564587289822, 0.7382981528812337]","[0.007279088191690937, -0.223088556454852, 0.771801799405006]","[0.09362214243705128, -0.3928818376356386, 0.8309592896276742]","[0.07710037932038383, -0.38984633508318245, 0.7311429228947043]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.04343524386148151, 0.20545867589129868, 0.3396651990323877]","[-0.0827337978323035, 0.39134985884037643, 0.3393622838711754]","[-0.2560748676824083, 0.4415774016577767, 0.23198413224922132]","[-0.41172496256796975, 0.43280441527768243, 0.1075631827588304]","[-0.4372489515773666, 0.521310655556269, 0.06560294662034713]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.16165150200737688, 0.1328131890365607, 0.32184927779128847]","[0.3079076228706009, 0.25297750292749904, 0.3054271957928913]","[0.2838510707275927, 0.45010196617112863, 0.2371393616648298]","[0.3024619970957556, 0.6476096806345777, 0.21643124376040643]","[0.2037470867489585, 0.6310518706290889, 0.23148765113553985]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[0.013374455881103232, -0.13354699409421333, 0.5015126134340121]","[0.025475154058315422, -0.2543752268461832, 0.6476430732076671]","[0.22022049021214762, -0.2904848184829096, 0.5778551699710758]","[0.388976615057135, -0.3825662116735168, 0.5246867831666988]","[0.47328989011070555, -0.3364440211143853, 0.4929140717972217]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.011509392878645178, -0.13362254792380568, 0.5015937763712305]","[0.02192265310311084, -0.25451913890243727, 0.6477976692785092]","[-0.1288795662049761, -0.29089261196848715, 0.5062502881339999]","[-0.2773827179651528, -0.37704595813398156, 0.40471751085600716]","[-0.33809254670843003, -0.29615974117290494, 0.4005670169471327]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.15254359489784078, -0.052622316868938965, 0.4743924976439846]","[0.29055922837651244, -0.10023298451313598, 0.5959857097980962]","[0.31996650505873553, -0.3009393332139888, 0.5416518007788949]","[0.2888288410822915, -0.4948126714385246, 0.5066080480151741]","[0.3679176101265339, -0.49406498782657615, 0.569773684086403]"
